Date,Open,High,Low,Close,Adj Close,Volume
15-06-2020,64950,65499,62500,62993.60156,62624.53906,16231
16-06-2020,63725,64495,62077.5,62660.30078,62293.19531,9122
17-06-2020,62748,63500,62369.05078,62968.25,62599.33203,7254
18-06-2020,62888,63350,62701.05078,62999.69922,62630.59766,4653
19-06-2020,63101,63592.94922,62700,62949.30078,62580.49219,7143
22-06-2020,63200,65200,63200,64762.75,64383.32813,11458
23-06-2020,65010,65650.54688,64155.69922,64532.64844,64154.57813,8282
24-06-2020,65032.64844,65870,63586.39844,64128.10156,63752.39063,9738
25-06-2020,64160,65500,63870,64809.64844,64429.94141,7199
26-06-2020,65009.64844,67000,65009.64844,66457.70313,66068.35156,15913
29-06-2020,66400,66800.79688,64830.05078,65196.89844,64814.92578,19328
30-06-2020,66480,67725,65750,67274.5,66880.35938,24297
01-07-2020,66800,66800,65600,65836.79688,65451.06641,13670
02-07-2020,66400,66800,65800,66092.85156,65705.625,9523
03-07-2020,66301,66599.95313,65815.45313,66140.25,65752.75781,8136
06-07-2020,66601,67550,66350,67333.54688,66939.07031,10688
07-07-2020,67333.54688,67510,65600,66858.79688,66467.08594,11291
08-07-2020,67000,67448.64844,65000.69922,65287.19922,64904.69141,16872
09-07-2020,65944.89844,66200,65050,65335.85156,64953.07031,11634
10-07-2020,65799,65799,64515,64867.25,64487.21484,12530
13-07-2020,65100,65698.89844,64350,64673.44922,64294.54297,8442
14-07-2020,64800,64890,63610.14844,64396,64018.71875,10422
15-07-2020,64677,65199.94922,63460,63675.35156,63302.29688,12777
16-07-2020,64000,64132.75,62431.35156,63537.94922,63165.69531,11199
17-07-2020,63998.94922,65870.85156,63382.69922,65360.55078,64977.61719,13834
20-07-2020,65500,65849.5,64720.10156,65042.80078,64661.73047,10937
21-07-2020,65800,65900,65250.25,65621.10156,65236.64453,10307
22-07-2020,65590,65590,64255.80078,64407.75,64030.40234,14416
23-07-2020,64793.55078,64793.55078,63100,63357.35156,62986.15625,13509
24-07-2020,63199,63800,62700,62976.5,62607.53906,15917
27-07-2020,63580,63580,61605,61931.60156,61568.75781,14479
28-07-2020,62199.80078,63000,62006,62204.89844,61840.44922,14267
29-07-2020,62400,62800,61550,61815.10156,61452.94141,9789
30-07-2020,62000,62399.89844,60700.69922,61043.14844,60685.50781,12271
31-07-2020,61200,61600,60602,61048.55078,60690.88281,11425
03-08-2020,61000,61800,60802.25,60974.64844,60617.41406,9152
04-08-2020,61500,61700,61004.14844,61270.10156,60911.13672,15026
05-08-2020,61400,61900,61150,61519.05078,61158.625,9425
06-08-2020,61500,61850,61100,61345.80078,60986.39844,4610
07-08-2020,61250,63260,61250,62702.80078,62335.4375,29581
10-08-2020,62798,63550,61700,61863,61500.5625,9740
11-08-2020,62200,62490,61390,61460.44922,61100.36719,9749
12-08-2020,61640,61899.85156,61350,61634.75,61273.64453,11449
13-08-2020,61900,64352.25,61400,63976.5,63601.68359,29507
14-08-2020,64000,64600,61200,61433.75,61073.83203,49738
17-08-2020,62199,62282.14844,59940.39844,60148.05078,59795.65625,32399
18-08-2020,60700,60879.94922,60000,60205.5,59852.77734,21461
19-08-2020,60580,60720,59604.10156,59837.80078,59487.23047,25319
20-08-2020,59998.35156,60300,59235.64844,59507.30078,59158.66406,27828
21-08-2020,59990,60150,59325.10156,59627.14844,59277.8125,31493
24-08-2020,60000,60537.5,59505.05078,59598.55078,59249.37891,22258
25-08-2020,59947,60150,59067.25,59286.39844,58939.05859,23315
26-08-2020,59250,59746.25,59250,59336.75,58989.10938,19075
27-08-2020,59786,59799,59100,59316.55078,58969.02344,12994
28-08-2020,59400,59999,59151,59579.85156,59230.78906,16940
31-08-2020,59999,59999,57520.05078,57987.44922,57647.72266,17715
01-09-2020,58500,58698.94922,57600,58345.30078,58003.47266,14263
02-09-2020,58410,59099.85156,58000,58586.75,58243.50391,12907
03-09-2020,58741,58998,58304.44922,58492.10156,58149.41016,8086
04-09-2020,58250,58800,57565.44922,58425.39844,58083.10547,11067
07-09-2020,58425.39844,58854.94922,58000,58374.19922,58032.19922,12599
08-09-2020,58500,58500,58050,58212.64844,57871.59375,9805
09-09-2020,58200,59054.94922,57867,58763.55078,58419.27344,12863
10-09-2020,58865,59399,58700,59134.05078,58787.60156,9822
11-09-2020,59100,59400,58445.89844,59226.69922,58879.70313,14081
14-09-2020,59230.05078,59800,58199.85156,58519.85156,58269.47266,17430
15-09-2020,58600,59400,58200,58408.44922,58158.55078,40617
16-09-2020,58600,59850,58508.44922,59573.94922,59319.0625,23565
17-09-2020,59310,59778,59154.55078,59530.85156,59276.16016,12214
18-09-2020,59600.85156,59970,58530.75,58950.60156,58698.38672,17210
21-09-2020,58950.60156,59079.89844,57866,58159.25,57910.42578,23226
22-09-2020,58160,58350.25,57400,57709.55078,57462.64844,9817
23-09-2020,58000,58320,56800,57211.5,56966.72656,11256
24-09-2020,56999.55078,57098.10156,55300,55618.85156,55380.88672,10032
